factor,sign,train_aligned_spearman,val_aligned_spearman,test_aligned_spearman
vol_surge_4h_z_lag1,1,0.05654846111405246,0.012590787172908024,0.07349946474853832
vol_24h_z_lag1,-1,0.03930443473017606,-0.04703215736276831,-0.0537319274962485
mom_8h_z_lag1,-1,0.0212419224074656,0.0900388705837353,0.05872501751670536
mom_4h_z_lag1,1,0.018417056837875062,-0.05983237035681893,-0.037007698071444765
funding_dev_24h_z_lag1,1,0.015473907382955137,-0.014441689821396842,-0.08341050580815254
